# ESTINF: num_q = 121; (-1.88495559E+00) (-1.85353967E+00) (-1.82212374E+00) (-1.79070781E+00) (-1.75929189E+00) (-1.72787596E+00) (-1.69646003E+00) (-1.66504411E+00) (-1.63362818E+00) (-1.60221225E+00) (-1.57079633E+00) (-1.53938040E+00) (-1.50796447E+00) (-1.47654855E+00) (-1.44513262E+00) (-1.41371669E+00) (-1.38230077E+00) (-1.35088484E+00) (-1.31946891E+00) (-1.28805299E+00) (-1.25663706E+00) (-1.22522113E+00) (-1.19380521E+00) (-1.16238928E+00) (-1.13097336E+00) (-1.09955743E+00) (-1.06814150E+00) (-1.03672558E+00) (-1.00530965E+00) (-9.73893723E-01) (-9.42477796E-01) (-9.11061870E-01) (-8.79645943E-01) (-8.48230016E-01) (-8.16814090E-01) (-7.85398163E-01) (-7.53982237E-01) (-7.22566310E-01) (-6.91150384E-01) (-6.59734457E-01) (-6.28318531E-01) (-5.96902604E-01) (-5.65486678E-01) (-5.34070751E-01) (-5.02654825E-01) (-4.71238898E-01) (-4.39822972E-01) (-4.08407045E-01) (-3.76991118E-01) (-3.45575192E-01) (-3.14159265E-01) (-2.82743339E-01) (-2.51327412E-01) (-2.19911486E-01) (-1.88495559E-01) (-1.57079633E-01) (-1.25663706E-01) (-9.42477796E-02) (-6.28318531E-02) (-3.14159265E-02) (+0.00000000E+00) (+3.14159265E-02) (+6.28318531E-02) (+9.42477796E-02) (+1.25663706E-01) (+1.57079633E-01) (+1.88495559E-01) (+2.19911486E-01) (+2.51327412E-01) (+2.82743339E-01) (+3.14159265E-01) (+3.45575192E-01) (+3.76991118E-01) (+4.08407045E-01) (+4.39822972E-01) (+4.71238898E-01) (+5.02654825E-01) (+5.34070751E-01) (+5.65486678E-01) (+5.96902604E-01) (+6.28318531E-01) (+6.59734457E-01) (+6.91150384E-01) (+7.22566310E-01) (+7.53982237E-01) (+7.85398163E-01) (+8.16814090E-01) (+8.48230016E-01) (+8.79645943E-01) (+9.11061870E-01) (+9.42477796E-01) (+9.73893723E-01) (+1.00530965E+00) (+1.03672558E+00) (+1.06814150E+00) (+1.09955743E+00) (+1.13097336E+00) (+1.16238928E+00) (+1.19380521E+00) (+1.22522113E+00) (+1.25663706E+00) (+1.28805299E+00) (+1.31946891E+00) (+1.35088484E+00) (+1.38230077E+00) (+1.41371669E+00) (+1.44513262E+00) (+1.47654855E+00) (+1.50796447E+00) (+1.53938040E+00) (+1.57079633E+00) (+1.60221225E+00) (+1.63362818E+00) (+1.66504411E+00) (+1.69646003E+00) (+1.72787596E+00) (+1.75929189E+00) (+1.79070781E+00) (+1.82212374E+00) (+1.85353967E+00) (+1.88495559E+00) 
#                   T = 2.00                    
#        q_index            S(q)           ΔS(q)
  4.90000000E+01  5.59822937E-02  2.85189945E-05
  5.00000000E+01  5.11082980E-02  2.87562962E-05
  5.10000000E+01  4.63982168E-02  2.69647384E-05
  5.20000000E+01  4.17954844E-02  3.02181771E-05
  5.30000000E+01  3.72726250E-02  3.33134624E-05
  5.40000000E+01  3.30320729E-02  3.35758962E-05
  5.50000000E+01  2.91481587E-02  3.66512992E-05
  5.60000000E+01  2.55012749E-02  4.40416125E-05
  5.70000000E+01  2.25965742E-02  4.48842454E-05
  5.80000000E+01  2.01926460E-02  5.48640487E-05
  5.90000000E+01  1.87201161E-02  6.24098172E-05
  6.00000000E+01  5.00000000E+01  0.00000000E+00
  6.10000000E+01  1.87201161E-02  6.24098172E-05
  6.20000000E+01  2.01926460E-02  5.48640487E-05
  6.30000000E+01  2.25965742E-02  4.48842454E-05
  6.40000000E+01  2.55012749E-02  4.40416125E-05
  6.50000000E+01  2.91481587E-02  3.66512992E-05
  6.60000000E+01  3.30320729E-02  3.35758962E-05
  6.70000000E+01  3.72726250E-02  3.33134624E-05
  6.80000000E+01  4.17954844E-02  3.02181771E-05
  6.90000000E+01  4.63982168E-02  2.69647384E-05
  7.00000000E+01  5.11082980E-02  2.87562962E-05
  7.10000000E+01  5.59822937E-02  2.85189945E-05
  7.20000000E+01  6.09170158E-02  2.69749654E-05
  7.30000000E+01  6.60314298E-02  2.76884230E-05
  7.40000000E+01  7.12321653E-02  2.64220843E-05
  7.50000000E+01  7.65323069E-02  2.48635248E-05
  7.60000000E+01  8.20673975E-02  2.66557091E-05
  7.70000000E+01  8.78136806E-02  2.77343516E-05
  7.80000000E+01  9.36777488E-02  2.73029172E-05
  7.90000000E+01  9.97974065E-02  2.69059898E-05
  8.00000000E+01  1.06162894E-01  2.93495006E-05
  8.10000000E+01  1.12955210E-01  2.74797607E-05
  8.20000000E+01  1.19999295E-01  2.85658378E-05
  8.30000000E+01  1.27525787E-01  2.98969390E-05
  8.40000000E+01  1.35581163E-01  3.12790577E-05
  8.50000000E+01  1.44032125E-01  3.50727133E-05
  8.60000000E+01  1.53096763E-01  3.38980445E-05
  8.70000000E+01  1.62915174E-01  3.49539885E-05
  8.80000000E+01  1.73386722E-01  4.28106468E-05
  8.90000000E+01  1.84920902E-01  3.97386283E-05
  9.00000000E+01  1.97336007E-01  4.42979150E-05
  9.10000000E+01  2.11036366E-01  4.74477557E-05
  9.20000000E+01  2.26028057E-01  5.21622250E-05
  9.30000000E+01  2.42523746E-01  5.98891628E-05
  9.40000000E+01  2.61110981E-01  6.79475503E-05
  9.50000000E+01  2.81809773E-01  7.62079482E-05
  9.60000000E+01  3.05165850E-01  8.58427508E-05
  9.70000000E+01  3.31899677E-01  1.04300268E-04
  9.80000000E+01  3.62634456E-01  1.21671557E-04
  9.90000000E+01  3.98717062E-01  1.62314735E-04
  1.00000000E+02  4.41211501E-01  1.73599742E-04
  1.01000000E+02  4.92585354E-01  2.21717240E-04
  1.02000000E+02  5.55896243E-01  3.01052117E-04
  1.03000000E+02  6.35199087E-01  4.35952452E-04
  1.04000000E+02  7.38123081E-01  6.07358447E-04
  1.05000000E+02  8.79266252E-01  8.71425908E-04
  1.06000000E+02  1.08199028E+00  1.38325424E-03
  1.07000000E+02  1.38985154E+00  2.23239295E-03
  1.08000000E+02  1.88800468E+00  3.36883123E-03
  1.09000000E+02  2.70892621E+00  7.14750537E-03
  1.10000000E+02  4.00295220E+00  1.59320659E-02
  1.11000000E+02  3.91954044E+00  1.03554786E-02
  1.12000000E+02  3.18954443E+00  8.64979541E-03
  1.13000000E+02  2.53876994E+00  5.64880918E-03
  1.14000000E+02  2.04704268E+00  3.10796218E-03
  1.15000000E+02  1.73785659E+00  2.14502441E-03
  1.16000000E+02  1.53310451E+00  1.42885100E-03
  1.17000000E+02  1.38763864E+00  1.21410983E-03
  1.18000000E+02  1.28282670E+00  7.87909339E-04
  1.19000000E+02  1.20337384E+00  6.18010634E-04
  1.20000000E+02  1.14009040E+00  5.16907846E-04
